operator,routes_operated,observations,mean_delay_min,reliability_pct,status
Howards Travel,2,225,-0.356,67.11,BELOW THRESHOLD
Stagecoach Cumbria and North Lancashire,5,16537,0.119,60.17,BELOW THRESHOLD
Bee Network,264,1023236,0.46,55.59,BELOW THRESHOLD
The Blackburn Bus Company,5,21867,0.706,54.34,BELOW THRESHOLD
Arriva North West,36,61592,0.471,47.26,BELOW THRESHOLD
Hattons Travel,7,680,2.411,46.62,BELOW THRESHOLD
Warrington's Own Buses,38,34997,1.038,45.36,BELOW THRESHOLD
First Halifax,1,2093,1.045,43.1,BELOW THRESHOLD
Ashcroft Travel,6,1950,2.192,38.41,BELOW THRESHOLD
Stagecoach Merseyside and South Lancashire,5,1535,0.791,37.85,BELOW THRESHOLD
Team Pennine,1,2117,0.32,37.03,BELOW THRESHOLD
Belle Vue Coaches,1,2570,-0.12,36.73,BELOW THRESHOLD
Tyrers Coaches,2,630,0.796,36.19,BELOW THRESHOLD
D & G Bus,4,3042,0.765,36.09,BELOW THRESHOLD
High Peak,6,7818,0.968,34.78,BELOW THRESHOLD
Link Network,1,572,0.988,34.27,BELOW THRESHOLD
Huyton Travel,15,6145,1.788,33.64,BELOW THRESHOLD
The Burnley Bus Company,5,5878,1.379,32.36,BELOW THRESHOLD
Holmeswood Coaches Ltd,2,3191,1.464,31.81,BELOW THRESHOLD
Vision Bus,1,892,1.025,27.8,BELOW THRESHOLD
Preston Bus,4,3592,1.516,27.0,BELOW THRESHOLD
National Express,12,254,0.019,22.05,BELOW THRESHOLD
